route_id,num_stops,nn_time_seconds,nn_violations,algo_time_seconds,algo_violations,actual_time_seconds,actual_violations,algo_passes_run
RouteID_092c229e-9d6e-468b-accd-0372d87a181c,194,28522.5,2,27858.8,0,28058.3,2,3
RouteID_6ad75c1f-8ece-4a07-a8c3-b8c7f75de98c,147,29413.6,4,28966.7,0,29055.5,0,3
RouteID_b7b62247-44b8-45aa-81a0-edbd95673b2a,155,28152.5,1,27415.0,0,27509.0,1,5
RouteID_dc4ad6e5-ab22-4c35-a1da-2de14f93f7e8,182,29706.4,0,29137.2,0,30379.3,2,3
RouteID_b5f91cc1-aabb-49f4-8812-07d621d970dd,155,28904.1,0,27734.9,0,27348.4,0,4
RouteID_c16cda48-a3e3-471c-a5d0-124db92659f3,158,28744.9,0,27612.3,0,28157.7,0,6
RouteID_2a557de5-2e64-42e1-b63a-19e83d02c766,95,25259.1,4,25333.3,0,25956.8,5,6
RouteID_742d9d90-6474-461e-bf35-767ca23150ff,179,26725.7,0,25421.6,0,26301.2,1,4
RouteID_9efdc483-0a66-4f59-bf93-69e0bc3ce285,151,25280.0,1,23631.7,0,24567.6,1,5
RouteID_faffc452-8663-484f-bbd8-7ace2b8bc694,127,24624.8,0,23995.4,0,24526.4,0,4
RouteID_2b066fae-9bd4-4dfb-8d31-ade73671bc50,186,29161.8,3,28922.3,0,28356.5,3,4
RouteID_7bc9b017-5254-4107-a598-d7dfded895ba,134,24743.9,8,24203.8,0,24489.3,0,4
RouteID_6a6d2ca9-0013-4890-91ef-5e22f5d069cf,191,28481.3,1,28756.1,0,28946.1,0,3
RouteID_ed6a0b68-cd0e-4cdc-8f99-1e78c64dc722,175,25831.5,0,23950.1,0,24841.0,0,3
RouteID_0e217d92-1e37-4216-bb49-b9858c120b52,181,28245.5,1,26929.4,0,28060.5,2,5
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,130,21760.2,3,21474.0,0,20730.9,0,3
RouteID_e8fadfda-0160-40d7-8a89-7bedbe0502e5,144,26133.7,1,25990.2,0,25362.3,4,3
RouteID_be4a5318-30b0-4446-aed2-0660df6853e6,164,24890.3,0,23633.6,0,24197.9,0,5
RouteID_3532695f-e73c-4fd1-9e4a-39eb8a33d2a9,174,26944.6,0,26387.4,0,26399.1,0,4
RouteID_fdf39434-8bd9-47c5-ae35-c9c3e252e370,172,32645.3,3,33800.1,1,32771.9,2,5
RouteID_a4272688-1fb9-4e59-bf27-281a6cfae1f8,167,27512.1,0,27200.5,0,27324.3,0,3
RouteID_d2c06359-497b-46b5-a5e7-1a69d779f0a9,169,28161.4,0,27587.6,0,27687.9,3,3
RouteID_a4fde102-5888-4f53-83c2-66fd52c6d45d,137,22988.1,3,21531.6,0,23536.6,0,3
RouteID_168bfe56-6dee-4032-ba12-e0f50dadc3c4,147,29836.0,0,27616.2,0,28644.3,0,4
RouteID_3f5cab24-ce9f-4eca-b10c-6bcba85424f1,142,22786.3,2,22525.4,0,23151.3,3,4
RouteID_d04e3e8a-a83e-49aa-9325-ab3a0c52fbc5,199,27676.6,2,27278.1,0,27070.8,1,4
RouteID_819fcab8-47f4-4473-adc0-5082f1fea031,142,22348.3,0,21783.4,0,22027.1,0,6
RouteID_4e6a1048-3174-4c3e-8e7f-e9982a5d1f72,103,32742.8,1,31797.2,0,32529.1,0,5
RouteID_4d258d43-b053-4f00-96ef-55bb58cca10a,162,27173.2,1,24685.5,0,25205.6,0,5
